name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Rachid Ghezzal,Right Winger,Algeria,18/19,€4.00m,€14.00m,AS Monaco,Leicester City,Ligue 1,Premier League,First Tier,First Tier,26 years 02 months 27 days,02 Years 10 Months 25 Days
Jean-Eudes Aholou,Defensive Midfield,Cote d'Ivoire,18/19,€3.00m,€14.00m,RC Strasbourg Alsace,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,24 years 04 months 04 days,02 Years 11 Months 06 Days
Danny Ward,Goalkeeper,Wales,18/19,€2.50m,€14.00m,Liverpool FC,Leicester City,Premier League,Premier League,First Tier,First Tier,25 years 28 days,02 Years 11 Months 10 Days
Diego Lainez,Right Winger,Mexico,18/19,€1.50m,€14.00m,CF América,Real Betis Balompié,Liga MX Clausura,LaLiga,First Tier,First Tier,18 years 07 months 01 day,
Dusan Tadic,Left Winger,Serbia,18/19,€15.00m,€13.70m,Southampton FC,Ajax Amsterdam,Premier League,Eredivisie,First Tier,First Tier,29 years 07 months 13 days,01 Years 11 Months 27 Days
Chris Mepham,Centre-Back,Wales,18/19,€8.00m,€13.60m,Brentford FC,AFC Bournemouth,Championship,Premier League,Second Tier,First Tier,21 years 02 months 17 days,03 Years 05 Months 08 Days
Joris Gnagnon,Centre-Back,France,18/19,€15.00m,€13.50m,Stade Rennais FC,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,21 years 06 months 12 days,02 Years 11 Months 05 Days
Davy Klaassen,Attacking Midfield,Netherlands,18/19,€15.00m,€13.50m,Everton FC,SV Werder Bremen,Premier League,Bundesliga,First Tier,First Tier,25 years 05 months 06 days,03 Years 11 Months 03 Days
Benik Afobe,Centre-Forward,DR Congo,18/19,€10.00m,€13.50m,Wolverhampton Wanderers,Stoke City,Premier League,Championship,First Tier,Second Tier,25 years 10 months 23 days,01 Years 05 Months 26 Days
Maximiliano Meza,Right Winger,Argentina,18/19,€14.00m,€13.15m,CA Independiente,CF Monterrey,Superliga,Liga MX Clausura,First Tier,First Tier,26 years 17 days,02 Years 05 Months 29 Days
Gerard Deulofeu,Centre-Forward,Spain,18/19,€14.00m,€13.00m,FC Barcelona,Watford FC,LaLiga,Premier League,First Tier,First Tier,24 years 03 months 18 days,11 Months 30 Days
Mbaye Diagne,Centre-Forward,Senegal,18/19,€5.50m,€13.00m,Kasimpasa,Galatasaray,Süper Lig,Süper Lig,First Tier,First Tier,27 years 03 months 03 days,03 Years 04 Months 30 Days
Matej Vydra,Centre-Forward,Czech Republic,18/19,€8.00m,€12.20m,Derby County,Burnley FC,Championship,Premier League,Second Tier,First Tier,26 years 03 months 07 days,01 Years 10 Months 23 Days
Jeison Murillo,Centre-Back,Colombia,18/19,€15.00m,€12.00m,Inter Milan,Valencia CF,Serie A,LaLiga,First Tier,First Tier,26 years 01 month 04 days,01 Years 11 Months 30 Days
Nacer Chadli,Left Winger,Belgium,18/19,€15.00m,€12.00m,West Bromwich Albion,AS Monaco,Championship,Ligue 1,Second Tier,First Tier,29 years 28 days,01 Years 10 Months 00 Days
Mitchell Weiser,Right-Back,Germany,18/19,€12.00m,€12.00m,Hertha BSC,Bayer 04 Leverkusen,Bundesliga,Bundesliga,First Tier,First Tier,24 years 02 months 10 days,01 Years 11 Months 30 Days
Mikel Merino,Central Midfield,Spain,18/19,€12.00m,€12.00m,Newcastle United,Real Sociedad,Premier League,LaLiga,First Tier,First Tier,22 years 20 days,03 Years 11 Months 18 Days
M'Baye Niang,Centre-Forward,Senegal,18/19,€10.00m,€12.00m,AC Milan,Torino FC,Serie A,Serie A,First Tier,First Tier,23 years 06 months 12 days,11 Months 30 Days
Francesco Acerbi,Centre-Back,Italy,18/19,€10.00m,€12.00m,US Sassuolo,SS Lazio,Serie A,Serie A,First Tier,First Tier,30 years 05 months 01 day,03 Years 11 Months 19 Days
Marlon,Centre-Back,Brazil,18/19,€10.00m,€12.00m,FC Barcelona,US Sassuolo,LaLiga,Serie A,First Tier,First Tier,22 years 11 months 09 days,01 Years 10 Months 14 Days
Sardar Azmoun,Centre-Forward,Iran,18/19,€9.50m,€12.00m,Rubin Kazan,Zenit St. Petersburg,Premier Liga,Premier Liga,First Tier,First Tier,24 years 01 month 00 days,01 Years 04 Months 29 Days
Souza,Defensive Midfield,Brazil,18/19,€9.00m,€12.00m,Fenerbahce,Al-Ahli Saudi FC,Süper Lig,Saudi Professional League,First Tier,First Tier,29 years 06 months 12 days,10 Months 07 Days
Vitinho,Left Winger,Brazil,18/19,€8.00m,€12.00m,CSKA Moscow,CR Flamengo,Premier Liga,Campeonato Brasileiro Série A,First Tier,First Tier,24 years 09 months 21 days,01 Years 11 Months 00 Days
Kévin Malcuit,Right-Back,France,18/19,€7.50m,€12.00m,LOSC Lille,SSC Napoli,Ligue 1,Serie A,First Tier,First Tier,27 years 08 days,03 Years 10 Months 22 Days
Nemanja Radonjic,Left Winger,Serbia,18/19,€6.00m,€12.00m,Red Star Belgrade,Olympique Marseille,Super liga Srbije,Ligue 1,First Tier,First Tier,22 years 06 months 15 days,10 Months 00 Days
Willy Boly,Centre-Back,Cote d'Ivoire,18/19,€5.00m,€12.00m,FC Porto,Wolverhampton Wanderers,Liga NOS,Premier League,First Tier,First Tier,27 years 04 months 28 days,02 Years 11 Months 30 Days
Marcelo Saracchi,Left-Back,Uruguay,18/19,€4.50m,€12.00m,CA River Plate,RB Leipzig,Superliga,Bundesliga,First Tier,First Tier,20 years 02 months 08 days,02 Years 11 Months 30 Days
Emerson Royal,Right-Back,Brazil,18/19,€50k,€12.00m,Clube Atlético Mineiro,FC Barcelona,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,20 years 17 days,03 Years 11 Months 00 Days
Manolo Gabbiadini,Centre-Forward,Italy,18/19,€10.00m,€11.90m,Southampton FC,UC Sampdoria,Premier League,Serie A,First Tier,First Tier,27 years 01 month 16 days,02 Years 05 Months 19 Days
Soualiho Meïté,Central Midfield,France,18/19,€8.00m,€11.50m,AS Monaco,Torino FC,Ligue 1,Serie A,First Tier,First Tier,24 years 03 months 23 days,03 Years 11 Months 20 Days
Benik Afobe,Centre-Forward,DR Congo,18/19,€10.00m,€11.40m,AFC Bournemouth,Wolverhampton Wanderers,Premier League,Premier League,First Tier,First Tier,25 years 04 months 19 days,01 Years 11 Months 30 Days
Jonathan Rodríguez,Centre-Forward,Uruguay,18/19,€3.50m,€11.40m,Santos Laguna,CD Cruz Azul,Liga MX Clausura,Liga MX Clausura,First Tier,First Tier,25 years 05 months 26 days,05 Months 29 Days
Josh Murphy,Left Winger,England,18/19,€1.50m,€11.40m,Norwich City,Cardiff City,Championship,Premier League,Second Tier,First Tier,23 years 04 months 07 days,
Bobby De Cordova-Reid,Attacking Midfield,Jamaica,18/19,€3.00m,€11.35m,Bristol City,Cardiff City,Championship,Premier League,Second Tier,First Tier,25 years 04 months 29 days,
David Brooks,Right Winger,Wales,18/19,€5.00m,€11.30m,Sheffield United,AFC Bournemouth,Championship,Premier League,Second Tier,First Tier,20 years 11 months 23 days,
Angus Gunn,Goalkeeper,Scotland,18/19,€2.00m,€11.30m,Manchester City,Southampton FC,Premier League,Premier League,First Tier,First Tier,22 years 05 months 18 days,01 Years 11 Months 20 Days
Nicolás González,Left Winger,Argentina,18/19,€5.00m,€11.26m,AA Argentinos Juniors,VfB Stuttgart,Superliga,Bundesliga,First Tier,First Tier,20 years 03 months 04 days,01 Years 11 Months 20 Days
Tom Ince,Right Winger,England,18/19,€8.00m,€11.20m,Huddersfield Town,Stoke City,Premier League,Championship,First Tier,Second Tier,26 years 05 months 24 days,01 Years 11 Months 06 Days
Santiago Arias,Right-Back,Colombia,18/19,€18.00m,€11.00m,PSV Eindhoven,Atlético de Madrid,Eredivisie,LaLiga,First Tier,First Tier,26 years 06 months 18 days,10 Months 30 Days
Suat Serdar,Central Midfield,Germany,18/19,€7.50m,€11.00m,1.FSV Mainz 05,FC Schalke 04,Bundesliga,Bundesliga,First Tier,First Tier,21 years 02 months 20 days,02 Years 11 Months 30 Days
Gianluca Lapadula,Centre-Forward,Peru,18/19,€7.00m,€11.00m,AC Milan,Genoa CFC,Serie A,Serie A,First Tier,First Tier,28 years 06 months 10 days,02 Years 10 Months 13 Days
Fodé Ballo-Touré,Left-Back,Senegal,18/19,€7.00m,€11.00m,LOSC Lille,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,22 years 07 days,01 Years 05 Months 20 Days
Ozan Kabak,Centre-Back,Turkey,18/19,€6.50m,€11.00m,Galatasaray,VfB Stuttgart,Süper Lig,Bundesliga,First Tier,First Tier,18 years 09 months 23 days,01 Years 05 Months 13 Days
Emmanuel Boateng,Left Winger,Ghana,18/19,€3.00m,€11.00m,Levante UD,Dalian Yifang,LaLiga,Chinese Super League,First Tier,First Tier,22 years 08 months 28 days,02 Years 04 Months 10 Days
Cheikhou Kouyaté,Defensive Midfield,Senegal,18/19,€12.00m,€10.70m,West Ham United,Crystal Palace,Premier League,Premier League,First Tier,First Tier,28 years 07 months 12 days,02 Years 10 Months 28 Days
Armando Izzo,Centre-Back,Italy,18/19,€8.50m,€10.70m,Genoa CFC,Torino FC,Serie A,Serie A,First Tier,First Tier,26 years 04 months 02 days,11 Months 26 Days
Yoshinori Muto,Centre-Forward,Japan,18/19,€6.00m,€10.70m,1.FSV Mainz 05,Newcastle United,Bundesliga,Premier League,First Tier,First Tier,26 years 18 days,10 Months 28 Days
Víctor Dávila,Centre-Forward,Chile,18/19,€3.50m,€10.60m,Club Necaxa,CF Pachuca,Liga MX Clausura,Liga MX Clausura,First Tier,First Tier,21 years 01 month 28 days,02 Years 05 Months 29 Days
Orbelín Pineda,Central Midfield,Mexico,18/19,€5.00m,€10.56m,Deportivo Guadalajara,CD Cruz Azul,Liga MX Clausura,Liga MX Clausura,First Tier,First Tier,22 years 09 months 08 days,01 Years 11 Months 29 Days
Giuliano,Attacking Midfield,Brazil,18/19,€12.00m,€10.50m,Fenerbahce,Al-Nassr FC,Süper Lig,Saudi Professional League,First Tier,First Tier,28 years 02 months 20 days,02 Years 10 Months 10 Days
Valentino Lazaro,Right-Back,Austria,18/19,€9.00m,€10.50m,Red Bull Salzburg,Hertha BSC,Bundesliga,Bundesliga,First Tier,First Tier,22 years 03 months 07 days,11 Months 30 Days
Wout Weghorst,Centre-Forward,Netherlands,18/19,€7.00m,€10.50m,AZ Alkmaar,VfL Wolfsburg,Eredivisie,Bundesliga,First Tier,First Tier,25 years 10 months 24 days,01 Years 11 Months 30 Days
Odsonne Edouard,Centre-Forward,France,18/19,€1.50m,€10.30m,Paris Saint-Germain,Celtic FC,Ligue 1,Scottish Premiership,First Tier,First Tier,20 years 05 months 15 days,01 Years 11 Months 30 Days
Djaniny,Centre-Forward,Cape Verde,18/19,€5.00m,€10.24m,Santos Laguna,Al-Ahli Saudi FC,Liga MX Clausura,Saudi Professional League,First Tier,First Tier,27 years 03 months 25 days,
Gonzalo Higuaín,Centre-Forward,Argentina,18/19,€55.00m,Loan fee:€10.20m,Juventus FC,AC Milan,Serie A,Serie A,First Tier,First Tier,30 years 07 months 23 days,02 Years 10 Months 28 Days
Karim Adeyemi,Left Winger,Germany,18/19,-,€10.10m,SpVgg Unterhaching U19,Red Bull Salzburg,-,Bundesliga,-,First Tier,16 years 05 months 13 days,01 Years 11 Months 30 Days
Jordan Amavi,Left-Back,France,18/19,€16.00m,€10.00m,Aston Villa,Olympique Marseille,Championship,Ligue 1,Second Tier,First Tier,24 years 03 months 22 days,01 Years 11 Months 30 Days
Vicente Iborra,Defensive Midfield,Spain,18/19,€9.00m,€10.00m,Leicester City,Villarreal CF,Premier League,LaLiga,First Tier,First Tier,30 years 11 months 22 days,02 Years 05 Months 23 Days
Omar Mascarell,Defensive Midfield,Spain,18/19,€8.00m,€10.00m,Real Madrid,FC Schalke 04,LaLiga,Bundesliga,First Tier,First Tier,25 years 05 months 00 days,
Yaroslav Rakitskyi,Centre-Back,Ukraine,18/19,€7.50m,€10.00m,Shakhtar Donetsk,Zenit St. Petersburg,Premier Liga,Premier Liga,First Tier,First Tier,29 years 05 months 25 days,03 Years 05 Months 02 Days
Danilo Barbosa,Defensive Midfield,Brazil,18/19,€7.00m,€10.00m,SC Braga,OGC Nice,Liga NOS,Ligue 1,First Tier,First Tier,22 years 04 months 03 days,11 Months 30 Days
Aleksandar Prijovic,Centre-Forward,Serbia,18/19,€6.00m,€10.00m,PAOK Thessaloniki,Al-Ittihad Club (Jeddah),Super League 1,Saudi Professional League,First Tier,First Tier,28 years 08 months 20 days,03 Years 05 Months 20 Days
Santiago Cáseres,Defensive Midfield,Argentina,18/19,€6.00m,€10.00m,CA Vélez Sarsfield,Villarreal CF,Superliga,LaLiga,First Tier,First Tier,21 years 04 months 21 days,02 Years 11 Months 14 Days
Bernardo,Centre-Back,Brazil,18/19,€6.00m,€10.00m,RB Leipzig,Brighton & Hove Albion,Bundesliga,Premier League,First Tier,First Tier,23 years 01 month 21 days,02 Years 11 Months 25 Days
Adama Diakhaby,Left Winger,France,18/19,€5.00m,€10.00m,AS Monaco,Huddersfield Town,Ligue 1,Premier League,First Tier,First Tier,22 years 15 days,03 Years 11 Months 10 Days
Nemanja Maksimovic,Central Midfield,Serbia,18/19,€5.00m,€10.00m,Valencia CF,Getafe CF,LaLiga,LaLiga,First Tier,First Tier,23 years 05 months 20 days,03 Years 11 Months 14 Days
Myziane Maolida,Left Winger,France,18/19,€4.50m,€10.00m,Olympique Lyon,OGC Nice,Ligue 1,Ligue 1,First Tier,First Tier,19 years 05 months 30 days,03 Years 10 Months 17 Days
Nicolae Stanciu,Attacking Midfield,Romania,18/19,€4.25m,€10.00m,AC Sparta Prague,Al-Ahli Saudi FC,Fortuna Liga,Saudi Professional League,First Tier,First Tier,25 years 08 months 21 days,02 Years 05 Months 02 Days
Daniel Ginczek,Centre-Forward,Germany,18/19,€3.50m,€10.00m,VfB Stuttgart,VfL Wolfsburg,Bundesliga,Bundesliga,First Tier,First Tier,27 years 02 months 18 days,01 Years 11 Months 30 Days
Antonio Barreca,Left-Back,Italy,18/19,€3.50m,€10.00m,Torino FC,AS Monaco,Serie A,Ligue 1,First Tier,First Tier,23 years 03 months 22 days,11 Months 20 Days
Jason Denayer,Centre-Back,Belgium,18/19,€3.00m,€10.00m,Manchester City,Olympique Lyon,Premier League,Ligue 1,First Tier,First Tier,23 years 01 month 24 days,01 Years 10 Months 09 Days
Jérémie Boga,Left Winger,Cote d'Ivoire,18/19,€2.50m,€10.00m,Chelsea FC U23,US Sassuolo,Premier League 2,Serie A,Reserve league,First Tier,21 years 06 months 18 days,01 Years 11 Months 09 Days
Borja Iglesias,Centre-Forward,Spain,18/19,€1.00m,€10.00m,Celta de Vigo,RCD Espanyol Barcelona,LaLiga,LaLiga,First Tier,First Tier,25 years 05 months 22 days,11 Months 21 Days
Germán Pezzella,Centre-Back,Argentina,18/19,€13.00m,€9.75m,Real Betis Balompié,ACF Fiorentina,LaLiga,Serie A,First Tier,First Tier,27 years 04 days,02 Years 11 Months 30 Days
Gabriel Pires,Central Midfield,Brazil,18/19,€10.00m,€9.60m,CD Leganés,SL Benfica,LaLiga,Liga NOS,First Tier,First Tier,24 years 11 months 09 days,10 Months 03 Days
Bryan Cristante,Defensive Midfield,Italy,18/19,€25.00m,€9.50m,SL Benfica,Atalanta BC,Liga NOS,Serie A,First Tier,First Tier,23 years 03 months 28 days,11 Months 30 Days
Róger Guedes,Left Winger,Brazil,18/19,€9.00m,€9.50m,Sociedade Esportiva Palmeiras,Shandong Luneng Taishan,Campeonato Brasileiro Série A,Chinese Super League,First Tier,First Tier,21 years 09 months 11 days,02 Years 08 Months 18 Days
Davide Santon,Left-Back,Italy,18/19,€3.00m,€9.50m,Inter Milan,AS Roma,Serie A,Serie A,First Tier,First Tier,27 years 05 months 29 days,
Aleix Vidal,Right Winger,Spain,18/19,€7.50m,€9.30m,FC Barcelona,Sevilla FC,LaLiga,LaLiga,First Tier,First Tier,28 years 11 months 14 days,01 Years 10 Months 26 Days
Omar Colley,Centre-Back,The Gambia,18/19,€5.00m,€9.25m,KRC Genk,UC Sampdoria,Jupiler Pro League,Serie A,First Tier,First Tier,25 years 08 months 07 days,11 Months 30 Days
Alejandro Pozuelo,Attacking Midfield,Spain,18/19,€8.00m,€9.09m,KRC Genk,Toronto FC,Jupiler Pro League,Major League Soccer,First Tier,First Tier,27 years 05 months 26 days,02 Years 03 Months 12 Days
Cesc Fàbregas,Central Midfield,Spain,18/19,€25.00m,€9.00m,Chelsea FC,AS Monaco,Premier League,Ligue 1,First Tier,First Tier,31 years 08 months 07 days,05 Months 19 Days
Fedor Smolov,Centre-Forward,Russia,18/19,€14.00m,€9.00m,FK Krasnodar,Lokomotiv Moscow,Premier Liga,Premier Liga,First Tier,First Tier,28 years 06 months 00 days,10 Months 21 Days
Ramiro Funes Mori,Centre-Back,Argentina,18/19,€10.00m,€9.00m,Everton FC,Villarreal CF,Premier League,LaLiga,First Tier,First Tier,27 years 03 months 26 days,01 Years 11 Months 30 Days
Pablo Maffeo,Right-Back,Spain,18/19,€10.00m,€9.00m,Manchester City,VfB Stuttgart,Premier League,Bundesliga,First Tier,First Tier,20 years 11 months 19 days,11 Months 30 Days
Riccardo Saponara,Attacking Midfield,Italy,18/19,€9.00m,€9.00m,Empoli FC ,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,26 years 06 months 10 days,
Lukasz Skorupski,Goalkeeper,Poland,18/19,€7.00m,€9.00m,AS Roma,Bologna FC 1909,Serie A,Serie A,First Tier,First Tier,27 years 01 month 26 days,02 Years 11 Months 30 Days
Lisandro Magallán,Centre-Back,Argentina,18/19,€6.00m,€9.00m,CA Boca Juniors,Ajax Amsterdam,Superliga,Eredivisie,First Tier,First Tier,25 years 03 months 05 days,02 Years 05 Months 29 Days
Robin Olsen,Goalkeeper,Sweden,18/19,€2.50m,€9.00m,FC Copenhagen,AS Roma,Superligaen Meisterrunde,Serie A,Play-Offs,First Tier,28 years 06 months 16 days,01 Years 11 Months 06 Days
Jordan,Centre-Forward,United States,18/19,€2.50m,€9.00m,Stade Reims,Stade Rennais FC,Ligue 1,Ligue 1,First Tier,First Tier,22 years 02 months 05 days,01 Years 11 Months 30 Days
Brian Fernández,Centre-Forward,Argentina,18/19,€2.00m,€9.00m,Club Necaxa,Portland Timbers,Liga MX Clausura,Major League Soccer,First Tier,First Tier,24 years 07 months 10 days,03 Years 01 Months 24 Days
Antonino La Gumina,Centre-Forward,Italy,18/19,€2.00m,€9.00m,US Palermo,Empoli FC ,Serie B,Serie A,Second Tier,First Tier,22 years 04 months 00 days,11 Months 24 Days
Rabbi Matondo,Right Winger,Wales,18/19,-,€9.00m,Manchester City U23,FC Schalke 04,Premier League 2,Bundesliga,Reserve league,First Tier,18 years 04 months 21 days,01 Years 05 Months 00 Days
Garry Rodrigues,Left Winger,Cape Verde,18/19,€9.00m,€9.00m,Galatasaray,Al-Ittihad Club (Jeddah),Süper Lig,Saudi Professional League,First Tier,First Tier,28 years 01 month 10 days,02 Years 05 Months 24 Days
Nikola Vukcevic,Defensive Midfield,Montenegro,18/19,€7.50m,€8.90m,SC Braga,Levante UD,Liga NOS,LaLiga,First Tier,First Tier,26 years 07 months 27 days,01 Years 10 Months 21 Days
Carlos Salcedo,Centre-Back,Mexico,18/19,€10.00m,€8.80m,Eintracht Frankfurt,Tigres UANL,Bundesliga,Liga MX Clausura,First Tier,First Tier,25 years 03 months 24 days,03 Years 05 Months 08 Days
Guido Pizarro,Defensive Midfield,Argentina,18/19,€7.50m,€8.70m,Sevilla FC,Tigres UANL,LaLiga,Liga MX Clausura,First Tier,First Tier,28 years 04 months 05 days,02 Years 11 Months 30 Days
Samuel Kalu,Right Winger,Nigeria,18/19,€5.00m,€8.50m,KAA Gent,FC Girondins Bordeaux,Jupiler Pro League,Ligue 1,First Tier,First Tier,20 years 11 months 11 days,01 Years 10 Months 24 Days
Keno,Left Winger,Brazil,18/19,€3.50m,€8.50m,Sociedade Esportiva Palmeiras,Pyramids FC,Campeonato Brasileiro Série A,Egyptian Premier League,First Tier,First Tier,28 years 09 months 21 days,03 Years 06 Months 00 Days
Andriy Lunin,Goalkeeper,Ukraine,18/19,€3.50m,€8.50m,Zorya Lugansk,Real Madrid,Premier Liga,LaLiga,First Tier,First Tier,19 years 04 months 20 days,11 Months 30 Days
Nordin Amrabat,Right Winger,Morocco,18/19,€3.00m,€8.50m,Watford FC,Al-Nassr FC,Premier League,Saudi Professional League,First Tier,First Tier,31 years 03 months 15 days,11 Months 14 Days
Roger Martínez,Left Winger,Colombia,18/19,€2.50m,€8.50m,Villarreal CF,CF América,LaLiga,Liga MX Clausura,First Tier,First Tier,24 years 09 days,
Davide Bettella,Centre-Back,Italy,18/19,€1.00m,€8.50m,Inter Milan,Atalanta BC,Serie A,Serie A,First Tier,First Tier,18 years 02 months 24 days,03 Years 11 Months 30 Days
Ben Brereton Díaz,Left Winger,Chile,18/19,€5.00m,€8.30m,Nottingham Forest,Blackburn Rovers,Championship,Championship,Second Tier,Second Tier,19 years 08 months 17 days,02 Years 05 Months 26 Days
Anthony Limbombe,Left Winger,Belgium,18/19,€8.00m,€8.25m,Club Brugge KV,FC Nantes,Jupiler Pro League,Ligue 1,First Tier,First Tier,24 years 01 month 08 days,02 Years 10 Months 07 Days
Hassane Bandé,Left Winger,Burkina Faso,18/19,€7.50m,€8.25m,KV Mechelen,Ajax Amsterdam,Proximus League,Eredivisie,Second Tier,First Tier,19 years 08 months 01 day,02 Years 11 Months 30 Days
Tanguy Ndombélé,Central Midfield,France,18/19,€25.00m,€8.00m,Amiens SC,Olympique Lyon,Ligue 1,Ligue 1,First Tier,First Tier,21 years 06 months 03 days,01 Years 11 Months 30 Days
Alban Lafont,Goalkeeper,France,18/19,€18.00m,€8.00m,FC Toulouse,ACF Fiorentina,Ligue 1,Serie A,First Tier,First Tier,19 years 05 months 09 days,01 Years 11 Months 28 Days
Medhi Benatia,Centre-Back,Morocco,18/19,€15.00m,€8.00m,Juventus FC,Al-Duhail SC,Serie A,Qatar Stars League,First Tier,First Tier,31 years 09 months 11 days,01 Years 05 Months 02 Days
Sergi Darder,Central Midfield,Spain,18/19,€11.00m,€8.00m,Olympique Lyon,RCD Espanyol Barcelona,Ligue 1,LaLiga,First Tier,First Tier,24 years 06 months 09 days,01 Years 11 Months 30 Days
Kasim Adams,Centre-Back,Ghana,18/19,€8.50m,€8.00m,BSC Young Boys,TSG 1899 Hoffenheim,Super League,Bundesliga,First Tier,First Tier,23 years 01 month 03 days,02 Years 11 Months 05 Days
Cristiano Piccini,Centre-Back,Italy,18/19,€7.50m,€8.00m,Sporting CP,Valencia CF,Liga NOS,LaLiga,First Tier,First Tier,25 years 09 months 27 days,03 Years 11 Months 07 Days
Ignacio Pussetto,Right Winger,Argentina,18/19,€7.00m,€8.00m,CA Huracán,Udinese Calcio,Superliga,Serie A,First Tier,First Tier,22 years 06 months 26 days,01 Years 11 Months 13 Days
Sam Vokes,Centre-Forward,Wales,18/19,€6.00m,€8.00m,Burnley FC,Stoke City,Premier League,Championship,First Tier,Second Tier,29 years 03 months 10 days,02 Years 04 Months 30 Days
Samuel Gigot,Centre-Back,France,18/19,€6.00m,€8.00m,KAA Gent,Spartak Moscow,Jupiler Pro League,Premier Liga,First Tier,First Tier,24 years 08 months 19 days,02 Years 11 Months 30 Days
Aden Flint,Centre-Back,England,18/19,€5.00m,€8.00m,Bristol City,Middlesbrough FC,Championship,Championship,Second Tier,Second Tier,28 years 11 months 20 days,01 Years 11 Months 30 Days
Lukasz Fabianski,Goalkeeper,Poland,18/19,€5.00m,€8.00m,Swansea City,West Ham United,Championship,Premier League,Second Tier,First Tier,33 years 02 months 13 days,11 Months 30 Days
Alexis Mac Allister,Central Midfield,Argentina,18/19,€5.00m,€8.00m,AA Argentinos Juniors,Brighton & Hove Albion,Superliga,Premier League,First Tier,First Tier,20 years 01 month 00 days,02 Years 05 Months 06 Days
Erling Haaland,Centre-Forward,Norway,18/19,€5.00m,€8.00m,Molde FK,Red Bull Salzburg,Eliteserien,Bundesliga,First Tier,First Tier,18 years 05 months 11 days,11 Months 29 Days
Alexandru Mitrita,Left Winger,Romania,18/19,€3.50m,€8.00m,Universitatea Craiova,New York City FC,Liga 1,Major League Soccer,First Tier,First Tier,23 years 11 months 27 days,03 Years 04 Months 26 Days
Christian Cueva,Attacking Midfield,Peru,18/19,€3.00m,€8.00m,São Paulo Futebol Clube,FK Krasnodar,Campeonato Brasileiro Série A,Premier Liga,First Tier,First Tier,26 years 07 months 22 days,04 Years 05 Months 16 Days
Jean-Philippe Mateta,Centre-Forward,France,18/19,€2.50m,€8.00m,Olympique Lyon,1.FSV Mainz 05,Ligue 1,Bundesliga,First Tier,First Tier,21 years 03 days,02 Years 11 Months 30 Days
Mattéo Guendouzi,Central Midfield,France,18/19,€2.50m,€8.00m,FC Lorient,Arsenal FC,Ligue 2,Premier League,Second Tier,First Tier,19 years 02 months 27 days,11 Months 19 Days
Fran Beltrán,Central Midfield,Spain,18/19,€2.00m,€8.00m,Rayo Vallecano,Celta de Vigo,LaLiga,LaLiga,First Tier,First Tier,19 years 05 months 29 days,01 Years 10 Months 29 Days
Bubacarr Sanneh,Centre-Back,The Gambia,18/19,€1.50m,€8.00m,FC Midtjylland,RSC Anderlecht,Superligaen Meisterrunde,Jupiler Pro League,Play-Offs,First Tier,23 years 09 months 17 days,03 Years 04 Months 00 Days
Stuart Armstrong,Central Midfield,Scotland,18/19,€2.00m,€7.95m,Celtic FC,Southampton FC,Scottish Premiership,Premier League,First Tier,First Tier,26 years 03 months 01 day,11 Months 00 Days
Kurt Zouma,Centre-Back,France,18/19,€15.00m,Loan fee:€7.90m,Chelsea FC,Everton FC,Premier League,Premier League,First Tier,First Tier,23 years 09 months 13 days,04 Years 10 Months 21 Days
